Customer_Industry,Region_Customer,Product_Category,Sales_Channel,Lead_Source,Year,Quarter,Revenue_EUR_Actual,Revenue_EUR_Forecast
Automotive,North,MS365,LargeEnterprise,Mail,2020,Q1,9867111.736833427,9610243.355505457
Automotive,North,MS365,MidMarket,Website,2020,Q1,7187772.2372934185,7355169.046143975
Automotive,North,MS365,MidMarket,Trade Show,2020,Q1,7256465.091840847,7166967.054081374
Automotive,North,MS365,MidMarket,Mail,2020,Q1,7289862.829482161,7539398.771023587
Automotive,North,MS365,SME,Website,2020,Q1,7330231.492897666,7279782.276112605
Automotive,North,MS365,SME,Trade Show,2020,Q1,7478329.1826268565,7533659.4254522845
Automotive,North,MS365,SME,Mail,2020,Q1,7214853.201971262,7550194.038859745
Automotive,North,Google Workspaces,LargeEnterprise,Website,2020,Q1,6539027.108698778,6335784.792258806
Automotive,North,Google Workspaces,LargeEnterprise,Trade Show,2020,Q1,6570299.160878151,6518987.408212827
Automotive,North,Google Workspaces,LargeEnterprise,Mail,2020,Q1,6351913.498421333,6343195.75561609
Automotive,North,Google Workspaces,MidMarket,Website,2020,Q1,4932263.455570431,5022607.829890871
Automotive,North,Google Workspaces,MidMarket,Trade Show,2020,Q1,4801157.237106187,4905522.263420372
Automotive,North,Google Workspaces,MidMarket,Mail,2020,Q1,4769515.477895583,4772483.203809549
Automotive,North,Google Workspaces,SME,Website,2020,Q1,5034665.661176,4783083.01848297
Automotive,North,Google Workspaces,SME,Trade Show,2020,Q1,5039689.609922367,4865052.707347821
Automotive,North,Google Workspaces,SME,Mail,2020,Q1,4992519.204434938,5032070.257861867
Automotive,North,Hyperscaler,LargeEnterprise,Website,2020,Q1,9682768.261504022,9915745.490940848
Automotive,North,Hyperscaler,LargeEnterprise,Trade Show,2020,Q1,9558603.26840383,10020571.31971348
Automotive,North,Hyperscaler,LargeEnterprise,Mail,2020,Q1,9910539.815907294,9719873.987803988
Automotive,North,Hyperscaler,MidMarket,Website,2020,Q1,7323068.622182821,7144446.164797499
Automotive,North,Hyperscaler,MidMarket,Trade Show,2020,Q1,7179917.205680151,7563442.936741986
Automotive,North,Hyperscaler,MidMarket,Mail,2020,Q1,7347829.609550072,7132727.845798066
Automotive,North,Hyperscaler,SME,Website,2020,Q1,7140474.834501848,7551443.24388649
Automotive,North,Hyperscaler,SME,Trade Show,2020,Q1,7534194.180935453,7290904.840732115
Automotive,North,Hyperscaler,SME,Mail,2020,Q1,7241450.991720008,7129540.6822598465
Automotive,North,OTC,LargeEnterprise,Website,2020,Q1,6598342.247074927,6608996.226023138
Automotive,North,OTC,LargeEnterprise,Trade Show,2020,Q1,6458017.763769098,6725549.454945875
Automotive,North,OTC,LargeEnterprise,Mail,2020,Q1,6541360.541804458,6719583.622468371
Automotive,North,OTC,MidMarket,Website,2020,Q1,4914013.083802984,4798281.103360726
Automotive,North,OTC,MidMarket,Trade Show,2020,Q1,4805456.336657658,4804374.341819846
Automotive,North,OTC,MidMarket,Mail,2020,Q1,5040875.388329368,4919661.674385898
Automotive,North,OTC,SME,Website,2020,Q1,4982539.8470083345,4941191.447928498
Automotive,North,OTC,SME,Trade Show,2020,Q1,5031849.682469257,4971825.374099759
Automotive,North,OTC,SME,Mail,2020,Q1,5018448.205128294,4804315.108141644
Automotive,West,MPLS,LargeEnterprise,Website,2020,Q1,26289973.29943107,26867744.67215643
Automotive,West,MPLS,LargeEnterprise,Trade Show,2020,Q1,26808332.109370317,26355316.143396117
Automotive,West,MPLS,LargeEnterprise,Mail,2020,Q1,25474921.336616404,26688608.403526224
Automotive,West,MPLS,MidMarket,Website,2020,Q1,19235179.434902973,19648078.858341005
Automotive,West,MPLS,MidMarket,Trade Show,2020,Q1,19054272.746692643,19497132.21710786
Automotive,West,MPLS,MidMarket,Mail,2020,Q1,19390396.396915916,20172619.487913996
Automotive,West,MPLS,SME,Website,2020,Q1,19466412.747627378,19698545.644983802
Automotive,West,MPLS,SME,Trade Show,2020,Q1,19325618.838128675,20040248.299359016
Automotive,West,MPLS,SME,Mail,2020,Q1,19994485.010982316,20143950.875639547
Automotive,West,SD-WAN,LargeEnterprise,Website,2020,Q1,6476034.664010769,6603475.184136798
Automotive,West,SD-WAN,LargeEnterprise,Trade Show,2020,Q1,6445707.137208286,6552908.804740803
Automotive,West,SD-WAN,LargeEnterprise,Mail,2020,Q1,6550411.766596633,6334737.673697594
Automotive,West,SD-WAN,MidMarket,Website,2020,Q1,4792277.267492428,4762005.892221701
Automotive,West,SD-WAN,MidMarket,Trade Show,2020,Q1,4990659.094226212,4810255.364815335
Automotive,West,SD-WAN,MidMarket,Mail,2020,Q1,4772365.193103931,4805802.529556799
Automotive,West,SD-WAN,SME,Website,2020,Q1,5046066.080980155,4826427.638559953
Automotive,West,SD-WAN,SME,Trade Show,2020,Q1,4981673.430788997,4841480.391309298
Automotive,West,SD-WAN,SME,Mail,2020,Q1,4809614.704460252,4858019.648065219
Automotive,West,MS365,LargeEnterprise,Website,2020,Q1,9503313.27027416,9752322.614041325
Automotive,West,MS365,LargeEnterprise,Trade Show,2020,Q1,9989276.857072901,9559319.803073607
Automotive,West,MS365,LargeEnterprise,Mail,2020,Q1,9924114.40630857,9525417.159171669
Automotive,West,MS365,MidMarket,Website,2020,Q1,7453053.225618444,7428275.00208286
Automotive,West,MS365,MidMarket,Trade Show,2020,Q1,7472071.656008676,7366800.671179385
Automotive,West,MS365,MidMarket,Mail,2020,Q1,7158320.093280341,7324864.890999054
Automotive,West,MS365,SME,Website,2020,Q1,7286309.577844922,7410497.973525758
Automotive,West,MS365,SME,Trade Show,2020,Q1,7177141.076786308,7497455.733241593
Automotive,West,MS365,SME,Mail,2020,Q1,7513396.541644016,7317461.809102291
Automotive,West,Google Workspaces,LargeEnterprise,Website,2020,Q1,6582652.584064356,6589781.119354125
Automotive,West,Google Workspaces,LargeEnterprise,Trade Show,2020,Q1,6465692.543274393,6714762.222867398
Automotive,West,Google Workspaces,LargeEnterprise,Mail,2020,Q1,6358756.673447742,6669183.131677958
Automotive,West,Google Workspaces,MidMarket,Website,2020,Q1,4843294.696514699,4877800.243150723
Automotive,West,Google Workspaces,MidMarket,Trade Show,2020,Q1,4847554.9966080235,4943415.051344423
Automotive,West,Google Workspaces,MidMarket,Mail,2020,Q1,4968881.853501419,4803121.276574781
Automotive,West,Google Workspaces,SME,Website,2020,Q1,4941267.241406564,4918156.655468527
Automotive,West,Google Workspaces,SME,Trade Show,2020,Q1,5016163.822772898,5044398.4873415325
Automotive,West,Google Workspaces,SME,Mail,2020,Q1,4891664.477548584,4905494.534560757
Automotive,West,Hyperscaler,LargeEnterprise,Website,2020,Q1,9571756.547562981,10056582.979514088
Automotive,West,Hyperscaler,LargeEnterprise,Trade Show,2020,Q1,9927946.872333797,9744400.952301957
Automotive,West,Hyperscaler,LargeEnterprise,Mail,2020,Q1,9956471.029170139,10099306.896310778
Automotive,West,Hyperscaler,MidMarket,Website,2020,Q1,7377574.738906274,7385649.015852401
Automotive,West,Hyperscaler,MidMarket,Trade Show,2020,Q1,7471935.2309795525,7144021.0474061705
Automotive,West,Hyperscaler,MidMarket,Mail,2020,Q1,7347208.018363976,7389039.658511125
Automotive,West,Hyperscaler,SME,Website,2020,Q1,7360229.773221897,7248557.713055818
Automotive,West,Hyperscaler,SME,Trade Show,2020,Q1,7317393.458261347,7139616.594916153
Automotive,West,Hyperscaler,SME,Mail,2020,Q1,7136438.6070348425,7494383.9871125985
Automotive,West,OTC,LargeEnterprise,Website,2020,Q1,6376489.904130655,6443625.1881256355
Automotive,West,OTC,LargeEnterprise,Trade Show,2020,Q1,6345905.007608027,6651952.754951933
Automotive,West,OTC,LargeEnterprise,Mail,2020,Q1,6587897.4978388455,6448620.36651568
Automotive,West,OTC,MidMarket,Website,2020,Q1,4844306.794322898,4808297.9061621325
Automotive,West,OTC,MidMarket,Trade Show,2020,Q1,4902571.207349411,5042180.672231328
Automotive,West,OTC,MidMarket,Mail,2020,Q1,5022269.942177828,4858493.598326506
Automotive,West,OTC,SME,Website,2020,Q1,4824787.668744662,4930412.8634329485
Automotive,West,OTC,SME,Trade Show,2020,Q1,4873114.876910688,4932994.447844341
Automotive,West,OTC,SME,Mail,2020,Q1,4976665.341562915,4918142.04465205
Automotive,South,MPLS,LargeEnterprise,Website,2020,Q1,25699410.39811993,26796846.522967275
Automotive,South,MPLS,LargeEnterprise,Trade Show,2020,Q1,25456501.189059403,26412439.047520325
Automotive,South,MPLS,LargeEnterprise,Mail,2020,Q1,25796935.65799536,25979306.13990122
Automotive,South,MPLS,MidMarket,Website,2020,Q1,19193465.544704802,20034856.46142913
Automotive,South,MPLS,MidMarket,Trade Show,2020,Q1,20115637.182811085,19217275.478939157
Automotive,South,MPLS,MidMarket,Mail,2020,Q1,19969744.4554773,19653084.109132502
Automotive,South,MPLS,SME,Website,2020,Q1,19760084.507812507,20140660.446332507
Automotive,South,MPLS,SME,Trade Show,2020,Q1,20045752.70822526,19750477.155856494
Automotive,South,MPLS,SME,Mail,2020,Q1,19964406.492278937,19980362.14056985
Automotive,South,SD-WAN,LargeEnterprise,Website,2020,Q1,6407961.3568877475,6594757.623551411
Automotive,South,SD-WAN,LargeEnterprise,Trade Show,2020,Q1,6690356.932729324,6669081.67874849
Automotive,South,SD-WAN,LargeEnterprise,Mail,2020,Q1,6549070.230099593,6711128.4852714315
Automotive,South,SD-WAN,MidMarket,Website,2020,Q1,4992232.046549219,4831876.518259821
Automotive,South,SD-WAN,MidMarket,Trade Show,2020,Q1,5018827.389977047,4800898.324377015
Automotive,South,SD-WAN,MidMarket,Mail,2020,Q1,4845401.042491559,4895197.225099762
Automotive,South,SD-WAN,SME,Website,2020,Q1,4783015.577358303,4960558.728047265
Automotive,South,SD-WAN,SME,Trade Show,2020,Q1,4818380.548762582,4818157.375954664
Automotive,South,SD-WAN,SME,Mail,2020,Q1,4878132.336587877,4751230.435129049
Automotive,South,MS365,LargeEnterprise,Website,2020,Q1,9990808.859553495,9705761.069502022
Automotive,South,MS365,LargeEnterprise,Trade Show,2020,Q1,10016438.349953806,10081315.601280674
Automotive,South,MS365,LargeEnterprise,Mail,2020,Q1,9504171.278318714,9916980.476363508
Automotive,South,MS365,MidMarket,Website,2020,Q1,7354836.286159905,7305596.449773551
Automotive,South,MS365,MidMarket,Trade Show,2020,Q1,7312834.951416951,7211659.243806077
Automotive,South,MS365,MidMarket,Mail,2020,Q1,7224948.514711828,7285240.353189636
Automotive,South,MS365,SME,Website,2020,Q1,7178939.415300157,7201427.744985561
Automotive,South,MS365,SME,Trade Show,2020,Q1,7276926.827131633,7172837.619590828
Automotive,South,MS365,SME,Mail,2020,Q1,7549309.366760634,7533034.0676576495
Automotive,South,Google Workspaces,LargeEnterprise,Website,2020,Q1,6462614.506141636,6732393.468683523
Automotive,South,Google Workspaces,LargeEnterprise,Trade Show,2020,Q1,6540849.58203068,6398979.109171649
Automotive,South,Google Workspaces,LargeEnterprise,Mail,2020,Q1,6614540.916891404,6355142.356884645
Automotive,South,Google Workspaces,MidMarket,Website,2020,Q1,4859088.880713788,4848919.332143864
Automotive,South,Google Workspaces,MidMarket,Trade Show,2020,Q1,5041534.624816288,4888497.754228424
Automotive,South,Google Workspaces,MidMarket,Mail,2020,Q1,5038734.188482633,4811446.3741227565
Automotive,South,Google Workspaces,SME,Website,2020,Q1,4825534.688747609,4840427.473539568
Automotive,South,Google Workspaces,SME,Trade Show,2020,Q1,4899174.551767715,4810261.220707498
Automotive,South,Google Workspaces,SME,Mail,2020,Q1,4840263.49294503,4982278.170529735
Automotive,South,Hyperscaler,LargeEnterprise,Website,2020,Q1,9670904.29662648,9927546.765948357
Automotive,South,Hyperscaler,LargeEnterprise,Trade Show,2020,Q1,9522132.168412719,9880970.909456588
Automotive,South,Hyperscaler,LargeEnterprise,Mail,2020,Q1,9865738.600387938,9732330.714247523
Automotive,South,Hyperscaler,MidMarket,Website,2020,Q1,7351205.560452987,7534068.423591406
Automotive,South,Hyperscaler,MidMarket,Trade Show,2020,Q1,7148165.438062495,7561289.643690758
Automotive,South,Hyperscaler,MidMarket,Mail,2020,Q1,7250390.908906475,7203137.690681435
Automotive,South,Hyperscaler,SME,Website,2020,Q1,7533719.648684995,7225355.688635345
Automotive,South,Hyperscaler,SME,Trade Show,2020,Q1,7232802.850800137,7361533.962600166
Automotive,South,Hyperscaler,SME,Mail,2020,Q1,7190202.69244105,7166062.75617701
Automotive,South,OTC,LargeEnterprise,Website,2020,Q1,6529114.437444358,6507912.692862579
Automotive,South,OTC,LargeEnterprise,Trade Show,2020,Q1,6727593.514977574,6566049.839244418
Automotive,South,OTC,LargeEnterprise,Mail,2020,Q1,6430155.441937934,6542162.761788267
Automotive,South,OTC,MidMarket,Website,2020,Q1,4951640.664221764,4849272.574923408
Automotive,South,OTC,MidMarket,Trade Show,2020,Q1,4978485.884598616,4912733.741823162
Automotive,South,OTC,MidMarket,Mail,2020,Q1,4821291.263197719,5037640.286277655
Automotive,South,OTC,SME,Website,2020,Q1,4968464.9045835575,4811805.221287413
Automotive,South,OTC,SME,Trade Show,2020,Q1,4860334.9398157755,4946449.407518201
Automotive,South,OTC,SME,Mail,2020,Q1,4939691.749178074,4763019.008246816
Automotive,East,MPLS,LargeEnterprise,Website,2020,Q1,26346980.870550767,25439599.580503628
Automotive,East,MPLS,LargeEnterprise,Trade Show,2020,Q1,26190572.82785295,26216258.492091067
Automotive,East,MPLS,LargeEnterprise,Mail,2020,Q1,25477796.965420388,25501236.02185805
Automotive,East,MPLS,MidMarket,Website,2020,Q1,20002362.994707085,19026816.14611223
Automotive,East,MPLS,MidMarket,Trade Show,2020,Q1,19384936.077966083,19205815.59717763
Automotive,East,MPLS,MidMarket,Mail,2020,Q1,19223822.212479822,19677819.00519949
Automotive,East,MPLS,SME,Website,2020,Q1,19048930.169865716,19844009.14542272
Automotive,East,MPLS,SME,Trade Show,2020,Q1,19709071.53182589,19242974.276969656
Automotive,East,MPLS,SME,Mail,2020,Q1,19813077.234210737,19801911.32464981
Automotive,East,SD-WAN,LargeEnterprise,Website,2020,Q1,6339968.464904475,6406323.865773025
Automotive,East,SD-WAN,LargeEnterprise,Trade Show,2020,Q1,6538170.556653046,6578716.303985836
Automotive,East,SD-WAN,LargeEnterprise,Mail,2020,Q1,6423931.643412508,6498117.205291653
Automotive,East,SD-WAN,MidMarket,Website,2020,Q1,4943551.837122835,4946139.852800085
Automotive,East,SD-WAN,MidMarket,Trade Show,2020,Q1,4802309.928701497,5048515.825743775
Automotive,East,SD-WAN,MidMarket,Mail,2020,Q1,4957281.32143074,5031345.089569769
Automotive,East,SD-WAN,SME,Website,2020,Q1,4866020.603890161,4751284.527350831
Automotive,East,SD-WAN,SME,Trade Show,2020,Q1,5031018.99662102,5015631.629308692
Automotive,East,SD-WAN,SME,Mail,2020,Q1,4791256.283243798,4769947.23855243
Automotive,East,MS365,LargeEnterprise,Website,2020,Q1,9704639.810630154,10071827.951695906
Automotive,East,MS365,LargeEnterprise,Trade Show,2020,Q1,9568084.112744352,9669095.40745981
Automotive,East,MS365,LargeEnterprise,Mail,2020,Q1,10054816.170967137,9729220.898246761
Automotive,East,MS365,MidMarket,Website,2020,Q1,7519802.709021442,7166237.192329077
Automotive,East,MS365,MidMarket,Trade Show,2020,Q1,7241073.73247182,7175522.741248009
Automotive,East,MS365,MidMarket,Mail,2020,Q1,7421992.82071538,7452033.254353194
Automotive,East,MS365,SME,Website,2020,Q1,7492749.990090547,7549949.50608673
Automotive,East,MS365,SME,Trade Show,2020,Q1,7374840.365219758,7399836.8227294395
Automotive,East,MS365,SME,Mail,2020,Q1,7363342.760260203,7447132.506987065
Automotive,East,Google Workspaces,LargeEnterprise,Website,2020,Q1,6430074.249693514,6638121.231172195
Automotive,East,Google Workspaces,LargeEnterprise,Trade Show,2020,Q1,6370574.440455693,6438459.04315451
Automotive,East,Google Workspaces,LargeEnterprise,Mail,2020,Q1,6692219.636514665,6351425.18570142
Automotive,East,Google Workspaces,MidMarket,Website,2020,Q1,5020125.417149,4750561.82317575
Automotive,East,Google Workspaces,MidMarket,Trade Show,2020,Q1,4939930.43718198,4855194.784886206
Automotive,East,Google Workspaces,MidMarket,Mail,2020,Q1,4851708.93731461,4822439.268459764
Automotive,East,Google Workspaces,SME,Website,2020,Q1,4854762.8723837985,4768695.317514756
Automotive,East,Google Workspaces,SME,Trade Show,2020,Q1,4967786.703661072,4803858.4877481
Automotive,East,Google Workspaces,SME,Mail,2020,Q1,5019133.077985774,4787349.669480384
Automotive,East,Hyperscaler,LargeEnterprise,Website,2020,Q1,10032251.854559071,10048927.028370423
Automotive,East,Hyperscaler,LargeEnterprise,Trade Show,2020,Q1,9967925.327514574,9584160.3280755
Automotive,East,Hyperscaler,LargeEnterprise,Mail,2020,Q1,9885218.987692572,9822589.078392608
Automotive,East,Hyperscaler,MidMarket,Website,2020,Q1,7162862.984247771,7391897.679800474
Automotive,East,Hyperscaler,MidMarket,Trade Show,2020,Q1,7197732.921342576,7369570.2559688855
Automotive,East,Hyperscaler,MidMarket,Mail,2020,Q1,7529349.384837185,7169575.395397195
Automotive,East,Hyperscaler,SME,Website,2020,Q1,7397893.076846816,7268459.262787748
Automotive,East,Hyperscaler,SME,Trade Show,2020,Q1,7129138.6732274825,7148071.649608418
Automotive,East,Hyperscaler,SME,Mail,2020,Q1,7170662.194289714,7303051.4613433415
Automotive,East,OTC,LargeEnterprise,Website,2020,Q1,6598734.040976556,6408772.90584197
Automotive,East,OTC,LargeEnterprise,Trade Show,2020,Q1,6335357.96687182,6557986.346647086
Automotive,East,OTC,LargeEnterprise,Mail,2020,Q1,6397656.553900333,6610456.690872974
Automotive,East,OTC,MidMarket,Website,2020,Q1,4914620.136809976,4909635.958061412
Automotive,East,OTC,MidMarket,Trade Show,2020,Q1,4957568.559307808,4880271.008983418
Automotive,East,OTC,MidMarket,Mail,2020,Q1,4945588.37785078,4866200.026257007
Automotive,East,OTC,SME,Website,2020,Q1,4817280.792838167,5002507.530429102
Automotive,East,OTC,SME,Trade Show,2020,Q1,4963653.766404261,4815810.419519581
Automotive,East,OTC,SME,Mail,2020,Q1,4821174.72624904,4970265.501858661
Automotive,International,MPLS,LargeEnterprise,Website,2020,Q1,25853972.85038816,26545305.052917525
Automotive,International,MPLS,LargeEnterprise,Trade Show,2020,Q1,26527719.581522174,26004053.34496651
Automotive,International,MPLS,LargeEnterprise,Mail,2020,Q1,26372745.971808877,25809014.292094357
Automotive,International,MPLS,MidMarket,Website,2020,Q1,20019068.092593014,19564649.78325517
Automotive,International,MPLS,MidMarket,Trade Show,2020,Q1,19789135.470760413,19111856.711071238
Automotive,International,MPLS,MidMarket,Mail,2020,Q1,19681970.324002568,19055116.038674906
Automotive,International,MPLS,SME,Website,2020,Q1,19112409.721393712,19133923.83934227
Automotive,International,MPLS,SME,Trade Show,2020,Q1,19441258.96367132,19224574.03775467
Automotive,International,MPLS,SME,Mail,2020,Q1,19318242.84121807,19605012.18440565
Automotive,International,SD-WAN,LargeEnterprise,Website,2020,Q1,6430929.190684967,6672987.987797782
Automotive,International,SD-WAN,LargeEnterprise,Trade Show,2020,Q1,6722537.555234312,6427590.266133209
Automotive,International,SD-WAN,LargeEnterprise,Mail,2020,Q1,6490572.423200038,6707398.137632045
Automotive,International,SD-WAN,MidMarket,Website,2020,Q1,5017613.966553134,5036472.3726805
Automotive,International,SD-WAN,MidMarket,Trade Show,2020,Q1,4939341.587799178,5037671.381453562
Automotive,International,SD-WAN,MidMarket,Mail,2020,Q1,4988443.391062494,5001268.820402898
Automotive,International,SD-WAN,SME,Website,2020,Q1,4900791.127931558,4859147.5122393165
Automotive,International,SD-WAN,SME,Trade Show,2020,Q1,4923071.165387908,4771805.173300787
Automotive,International,SD-WAN,SME,Mail,2020,Q1,4897755.308145659,4920645.619529949
Automotive,International,MS365,LargeEnterprise,Website,2020,Q1,9617145.792678826,9835208.86636234
Automotive,International,MS365,LargeEnterprise,Trade Show,2020,Q1,9933471.269156903,10009985.460265758
Automotive,International,MS365,LargeEnterprise,Mail,2020,Q1,9668463.417464513,10097594.630567664
Automotive,International,MS365,MidMarket,Website,2020,Q1,7135942.184894154,7353670.787952066
Automotive,International,MS365,MidMarket,Trade Show,2020,Q1,7415462.533158225,7280341.813967903
Automotive,International,MS365,MidMarket,Mail,2020,Q1,7204699.805733172,7208655.77020032
Automotive,International,MS365,SME,Website,2020,Q1,7548206.362958811,7127159.921167817
Automotive,International,MS365,SME,Trade Show,2020,Q1,7554267.859651163,7354101.161619996
Automotive,International,MS365,SME,Mail,2020,Q1,7536688.975599201,7374983.400016168
Automotive,International,Google Workspaces,LargeEnterprise,Website,2020,Q1,6481396.813435511,6663308.725260292
Automotive,International,Google Workspaces,LargeEnterprise,Trade Show,2020,Q1,6339515.97994488,6535164.120490453
Automotive,International,Google Workspaces,LargeEnterprise,Mail,2020,Q1,6704660.758368424,6699920.672799757
Automotive,International,Google Workspaces,MidMarket,Website,2020,Q1,4878455.244495194,4938425.04297143
Automotive,International,Google Workspaces,MidMarket,Trade Show,2020,Q1,5039996.445713101,5002100.871466325
Automotive,International,Google Workspaces,MidMarket,Mail,2020,Q1,5039085.993126776,4794490.520442324
Automotive,International,Google Workspaces,SME,Website,2020,Q1,5005902.836640208,5006600.839090695
Automotive,International,Google Workspaces,SME,Trade Show,2020,Q1,4838334.667620876,4952543.156333155
Automotive,International,Google Workspaces,SME,Mail,2020,Q1,4865529.318580577,4801069.909731499
Automotive,International,Hyperscaler,LargeEnterprise,Website,2020,Q1,10010682.002910115,9613858.134887606
Automotive,International,Hyperscaler,LargeEnterprise,Trade Show,2020,Q1,9690153.203093767,10055900.371426534
Automotive,International,Hyperscaler,LargeEnterprise,Mail,2020,Q1,9601695.648011655,9519329.216270223
Automotive,International,Hyperscaler,MidMarket,Website,2020,Q1,7375560.568106257,7333140.724483067
Automotive,International,Hyperscaler,MidMarket,Trade Show,2020,Q1,7546269.64837235,7266063.880470346
Automotive,International,Hyperscaler,MidMarket,Mail,2020,Q1,7438213.408503738,7424284.847999292
Automotive,International,Hyperscaler,SME,Website,2020,Q1,7381527.526540214,7502833.224406047
Automotive,International,Hyperscaler,SME,Trade Show,2020,Q1,7168729.4221968455,7287170.154700456
Automotive,International,Hyperscaler,SME,Mail,2020,Q1,7401753.252014626,7317105.939295276
Automotive,International,OTC,LargeEnterprise,Website,2020,Q1,6729354.873375039,6726100.447133899
Automotive,International,OTC,LargeEnterprise,Trade Show,2020,Q1,6389366.939427943,6646899.937205015
Automotive,International,OTC,LargeEnterprise,Mail,2020,Q1,6540665.194278829,6692214.98570605
Automotive,International,OTC,MidMarket,Website,2020,Q1,5013211.921578387,4881628.666195489
Automotive,International,OTC,MidMarket,Trade Show,2020,Q1,4972230.585326261,4820222.861195235
Automotive,International,OTC,MidMarket,Mail,2020,Q1,4959104.72229858,4873559.039615936
Automotive,International,OTC,SME,Website,2020,Q1,4960745.225196132,4964827.575349454
Automotive,International,OTC,SME,Trade Show,2020,Q1,4857847.345365927,4782829.121450793
Automotive,International,OTC,SME,Mail,2020,Q1,4838077.553279348,4831140.731684952
Transport,North,MPLS,LargeEnterprise,Website,2020,Q1,26628311.182098955,25407950.77407188
Transport,North,MPLS,LargeEnterprise,Trade Show,2020,Q1,26629514.764820024,26025089.714674346
Transport,North,MPLS,LargeEnterprise,Mail,2020,Q1,26720649.043061502,26657246.510900714
Transport,North,MPLS,MidMarket,Website,2020,Q1,20095888.663067766,19029596.425957613
Transport,North,MPLS,MidMarket,Trade Show,2020,Q1,19613610.878633127,19810388.2321686
Transport,North,MPLS,MidMarket,Mail,2020,Q1,19601819.55362464,20118995.049416486
Transport,North,MPLS,SME,Website,2020,Q1,19957954.21476013,19284313.43381342
Transport,North,MPLS,SME,Trade Show,2020,Q1,19779956.716933317,19832361.808873177
Transport,North,MPLS,SME,Mail,2020,Q1,19842360.252709243,20170122.28132024
Transport,North,SD-WAN,LargeEnterprise,Website,2020,Q1,6651650.401107774,6718244.557394318
Transport,North,SD-WAN,LargeEnterprise,Trade Show,2020,Q1,6689335.470060361,6427305.01054499
Transport,North,SD-WAN,LargeEnterprise,Mail,2020,Q1,6468531.396073948,6373465.75461816
Transport,North,SD-WAN,MidMarket,Website,2020,Q1,4862674.885791983,4794484.761368775
Transport,North,SD-WAN,MidMarket,Trade Show,2020,Q1,4778194.58195226,4960610.700544642
Transport,North,SD-WAN,MidMarket,Mail,2020,Q1,4923484.0422988525,4967727.662635983
Transport,North,SD-WAN,SME,Website,2020,Q1,4760782.682139022,4952270.9684884595
Transport,North,SD-WAN,SME,Trade Show,2020,Q1,4889679.405439738,4850823.516322671
Transport,North,SD-WAN,SME,Mail,2020,Q1,4912793.390412273,4800933.081927436
Transport,North,MS365,LargeEnterprise,Website,2020,Q1,9671924.75127697,9848456.655171352
Transport,North,MS365,LargeEnterprise,Trade Show,2020,Q1,9854499.956341406,9790208.26745472
Transport,North,MS365,LargeEnterprise,Mail,2020,Q1,9518300.14996343,9937300.488273382
Transport,North,MS365,MidMarket,Website,2020,Q1,7141806.6849371465,7323612.035408529
Transport,North,MS365,MidMarket,Trade Show,2020,Q1,7495170.252296846,7277387.862608911
Transport,North,MS365,MidMarket,Mail,2020,Q1,7287085.788635069,7257065.3598115565
Transport,North,MS365,SME,Website,2020,Q1,7182177.230693348,7220161.644022386
Transport,North,MS365,SME,Trade Show,2020,Q1,7360009.4670246625,7244585.869283997
Transport,North,MS365,SME,Mail,2020,Q1,7471497.098894375,7167673.697479845
Transport,North,Google Workspaces,LargeEnterprise,Website,2020,Q1,6419661.74433207,6472076.137704889
Transport,North,Google Workspaces,LargeEnterprise,Trade Show,2020,Q1,6582489.523660934,6347961.258278516
